Time (UTC),Open,High,Low,Close,Volume 
2017.05.10 16:14:10,1.36494,1.36496,1.36488,1.36493,18.72
2017.05.10 16:14:20,1.36493,1.36504,1.36493,1.36504,19.48
2017.05.10 16:14:30,1.36504,1.36514,1.36504,1.36514,8.12
2017.05.10 16:14:40,1.36513,1.36517,1.36503,1.36516,22.49
2017.05.10 16:14:50,1.36514,1.36522,1.36513,1.36522,16.48
2017.05.10 16:15:00,1.36522,1.36533,1.36521,1.36531,23.1
2017.05.10 16:15:10,1.36531,1.36533,1.36531,1.36531,13.98
2017.05.10 16:15:20,1.36532,1.36542,1.36532,1.36542,14.73
2017.05.10 16:15:30,1.36542,1.36543,1.36538,1.36538,39.32
2017.05.10 16:15:40,1.36536,1.36542,1.36535,1.36542,24.59
2017.05.10 16:15:50,1.36542,1.36551,1.36541,1.36551,20.36
2017.05.10 16:16:00,1.36552,1.36557,1.36549,1.36551,18.72
2017.05.10 16:16:10,1.36551,1.36551,1.36545,1.36547,17.23
2017.05.10 16:16:20,1.36548,1.36548,1.36531,1.36533,24.71
2017.05.10 16:16:30,1.36532,1.36532,1.36528,1.36531,15.47
2017.05.10 16:16:40,1.36532,1.36534,1.36525,1.36525,15.87
2017.05.10 16:16:50,1.3653,1.36534,1.36525,1.36531,18.21
2017.05.10 16:17:00,1.36531,1.36573,1.36531,1.36572,62
2017.05.10 16:17:10,1.36572,1.366,1.36572,1.366,54.32
2017.05.10 16:17:20,1.36601,1.36603,1.36594,1.36596,16.99
2017.05.10 16:17:30,1.36597,1.36597,1.36595,1.36595,4.62
2017.05.10 16:17:40,1.36596,1.36598,1.36596,1.36596,11.37
2017.05.10 16:17:50,1.36598,1.36609,1.36597,1.36609,20.36
2017.05.10 16:18:00,1.36609,1.3662,1.36596,1.36596,48.82
2017.05.10 16:18:10,1.36597,1.36597,1.36595,1.36597,11.12
2017.05.10 16:18:20,1.36597,1.36597,1.36597,1.36597,0
2017.05.10 16:18:30,1.36598,1.36603,1.36598,1.36599,14.11
2017.05.10 16:18:40,1.36601,1.36607,1.36601,1.36606,15.6
2017.05.10 16:18:50,1.36604,1.36605,1.36604,1.36605,2
2017.05.10 16:19:00,1.36604,1.36606,1.36598,1.36598,20.36
2017.05.10 16:19:10,1.36597,1.36599,1.36596,1.36599,9.11
2017.05.10 16:19:20,1.366,1.36601,1.36598,1.36598,21.73
2017.05.10 16:19:30,1.36598,1.36598,1.36596,1.36598,5.8
2017.05.10 16:19:40,1.36601,1.36601,1.36599,1.36599,18.98
2017.05.10 16:19:50,1.36599,1.36599,1.36599,1.36599,0
2017.05.10 16:20:00,1.36596,1.36596,1.36584,1.36588,36.81
2017.05.10 16:20:10,1.36586,1.36587,1.36584,1.36585,8
2017.05.10 16:20:20,1.36586,1.36588,1.36581,1.36588,24.92
2017.05.10 16:20:30,1.36588,1.36588,1.36579,1.36587,29.52
2017.05.10 16:20:40,1.36587,1.36587,1.36584,1.36585,10.24
2017.05.10 16:20:50,1.36584,1.36588,1.36584,1.36588,10
2017.05.10 16:21:00,1.36582,1.36588,1.36582,1.36588,24.35
2017.05.10 16:21:10,1.36587,1.36601,1.36587,1.36599,29.02
2017.05.10 16:21:20,1.36599,1.36602,1.36598,1.36602,14.71
2017.05.10 16:21:30,1.36604,1.36607,1.36602,1.36606,23.36
2017.05.10 16:21:40,1.36609,1.36612,1.36603,1.36609,38.22
2017.05.10 16:21:50,1.3661,1.3661,1.36607,1.36609,21.47
2017.05.10 16:22:00,1.36602,1.36623,1.36602,1.36618,37.45
2017.05.10 16:22:10,1.36618,1.36619,1.36608,1.36608,13.62
2017.05.10 16:22:20,1.36606,1.36606,1.36595,1.36595,9.5
2017.05.10 16:22:30,1.36596,1.366,1.36596,1.36598,10.5
2017.05.10 16:22:40,1.36597,1.36597,1.36591,1.36592,13
2017.05.10 16:22:50,1.36595,1.36597,1.36594,1.36597,15.37
2017.05.10 16:23:00,1.36597,1.36602,1.36597,1.36602,7.32
2017.05.10 16:23:10,1.36603,1.36603,1.36599,1.36599,10.82
2017.05.10 16:23:20,1.36598,1.36598,1.36598,1.36598,4.87
2017.05.10 16:23:30,1.36599,1.36604,1.36599,1.36604,11.98
2017.05.10 16:23:40,1.36604,1.36604,1.36602,1.36603,4
2017.05.10 16:23:50,1.36602,1.36602,1.36598,1.36598,9.99
2017.05.10 16:24:00,1.36599,1.36601,1.36599,1.366,5.62
2017.05.10 16:24:10,1.366,1.36607,1.366,1.36607,23.1
2017.05.10 16:24:20,1.36606,1.36607,1.36604,1.36606,12.24
2017.05.10 16:24:30,1.36605,1.36606,1.36594,1.36597,19.49
2017.05.10 16:24:40,1.36597,1.36598,1.36597,1.36597,15.98
2017.05.10 16:24:50,1.36597,1.36597,1.36587,1.36587,10.9
2017.05.10 16:25:00,1.36588,1.36592,1.36587,1.36592,10.23
2017.05.10 16:25:10,1.36592,1.36594,1.36576,1.36578,28.48
2017.05.10 16:25:20,1.36578,1.36578,1.36578,1.36578,4.12
2017.05.10 16:25:30,1.36578,1.36587,1.36578,1.36587,4.36
2017.05.10 16:25:40,1.36586,1.36586,1.36582,1.36584,9.74
2017.05.10 16:25:50,1.36582,1.36584,1.36567,1.36567,11.12
2017.05.10 16:26:00,1.36566,1.36568,1.36565,1.36567,14.87
2017.05.10 16:26:10,1.36566,1.36574,1.36566,1.36572,14.37
